clause#;word#;passage;link;verb;stem;phr1#;phr1_txt;phr1_function;phr1_corr;phr2#;phr2_txt;phr2_function;phr2_corr;phr3#;phr3_txt;phr3_function;phr3_corr;phr4#;phr4_txt;phr4_function;phr4_corr;phr5#;phr5_txt;phr5_function;phr5_corr;phr6#;phr6_txt;phr6_function;phr6_corr
457907;165639;2_Samuel 10:18;link;JNS ;qal;700467;W;Conj;;700468;JNS ;Pred;;700469;>RM ;Subj;;700470;MPNJ J#R>L ;Cmpl;;;;;;;;;
458382;167791;2_Samuel 13:29;link;JNSW00;qal;701908;W;Conj;;701909;JNSW00;Pred;;;;;;;;;;;;;;;;;
458924;170312;2_Samuel 17:2;link;NS ;qal;703505;W;Conj;;703506;NS ;Pred;;703507;KL&H<M ;Subj;;;;;;;;;;;;;
459075;171104;2_Samuel 18:3;link;* NS ;qal;703961;KJ >M&;Conj;;703962;NS ;Modi;;703963;NNWS ;Pred;;;;;;;;;;;;;
459146;171501;2_Samuel 18:17;link;NSW ;qal;704199;W;Conj;;704200;KL&J#R>L ;Subj;;704201;NSW ;Pred;;;;;;;;;;;;;
459259;172005;2_Samuel 19:4;link;NWSM ;qal;704523;BNWSM ;PreS;;704524;BMLXMH00;Cmpl;Adju;;;;;;;;;;;;;;;;
459291;172170;2_Samuel 19:9;link;NS ;qal;704620;W;Conj;;704621;J#R>L ;Subj;;704622;NS ;Pred;;;;;;;;;;;;;
459883;175022;2_Samuel 23:11;link;NS ;qal;706372;W;Conj;;706373;H<M ;Subj;;706374;NS ;Pred;;706375;MPNJ PL#TJM00;Cmpl;;;;;;;;;
460025;175722;2_Samuel 24:13;link;NSK ;qal;706735;>M&;Conj;;706736;#L#H XD#JM ;Time;;706737;NSK ;PreS;;706738;LPNJ&YRJK ;Cmpl;;;;;;;;;
460458;177920;1_Kings 2:28;link;JNS ;qal;708061;W;Conj;;708062;JNS ;Pred;;708063;JW>B ;Subj;;708064;>L&>HL JHWH ;Cmpl;;;;;;;;;
460461;177938;1_Kings 2:29;link;NS ;qal;708071;KJ ;Conj;;708072;NS ;Pred;;708073;JW>B ;Subj;;708074;>L&>HL JHWH ;Cmpl;;;;;;;;;
461894;186386;1_Kings 12:18;link;NWS ;qal;712438;LNWS ;Pred;;712439;JRW#LM00;Cmpl;;;;;;;;;;;;;;;;;
463153;192358;1_Kings 20:20;link;JNSW ;qal;716073;W;Conj;;716074;JNSW ;Pred;;716075;>RM ;Subj;;;;;;;;;;;;;
463206;192618;1_Kings 20:30;link;JNSW ;qal;716240;W;Conj;;716241;JNSW ;Pred;;716242;HNWTRJM ;Subj;;716243;>PQH >L&H<JR ;Cmpl;;;;;;;;;
463209;192639;1_Kings 20:30;link;NS ;qal;716250;W;Conj;;716251;BN&HDD ;Subj;;716252;NS ;Pred;;;;;;;;;;;;;
464061;196346;2_Kings 3:24;link;JNSW ;qal;718693;W;Conj;;718694;JNSW ;Pred;;718695;MPNJHM ;Cmpl;;;;;;;;;;;;;
464744;199086;2_Kings 7:7;link;JNWSW ;qal;720580;W;Conj;;720581;JNWSW ;Pred;;720582;BN#P ;Time;;;;;;;;;;;;;
464747;199106;2_Kings 7:7;link;JNSW ;qal;720589;W;Conj;;720590;JNSW ;Pred;;720591;>L&NP#M00;Adju;;;;;;;;;;;;;
464960;200044;2_Kings 8:21;link;JNS ;qal;721194;W;Conj;;721195;JNS ;Pred;;721196;H<M ;Subj;;721197;L>HLJW00;Cmpl;;;;;;;;;
465002;200306;2_Kings 9:3;link;NSTH ;qal;721329;W;Conj;;721330;NSTH ;Pred;;;;;;;;;;;;;;;;;
465032;200446;2_Kings 9:10;link;JNS00;qal;721407;W;Conj;;721408;JNS00;Pred;;;;;;;;;;;;;;;;;
